cutoff_date,rank,ticker,company,cik,total_score,selected_top_10,indicator_Return on equity,indicator_Net profit margin,indicator_Margin consistency,indicator_Liabilities to assets,indicator_Positive free cash flow,indicator_Revenue growth,indicator_Earnings growth,points_Return on equity,points_Net profit margin,points_Margin consistency,points_Liabilities to assets,points_Positive free cash flow,points_Revenue growth,points_Earnings growth
2022-09-10,53,LMT,LOCKHEED MARTIN CORPORATION,936468,65,False,0.744079179922234,0.09419187399319849,0.024391769245078295,0.7845812120378197,5,0.0763025567147173,0.3392549610573816,20,0,10,0,20,5,10
2022-09-10,54,GWW,"W.W. Grainger, Inc.",277135,65,False,0.5634792004321988,0.08009522346797728,0.00900472907016757,0.7157160194174758,5,0.057183574447627006,0.15503906551206215,20,0,10,0,20,5,10
2022-09-10,55,WAB,WESTINGHOUSE AIR BRAKE TECHNOLOGIES CORPORATION,943452,65,False,0.05491045069868136,0.0713372538992585,0.011620288785655254,0.44516094071745965,5,0.1914448956202015,0.20769975191178935,0,0,10,15,20,10,10
2022-09-10,56,CL,COLGATE-PALMOLIVE COMPANY,21665,63,False,3.2041420118343193,0.12433270191148614,0.014784907689891269,0.935438829787234,5,0.030405203552413163,0.017096092959212106,20,8,10,0,20,5,0
2022-09-10,57,CVS,CVS HEALTH CORPORATION,64803,63,False,0.10950825119060804,0.027078747462437224,0.013271519474907265,0.6764750063304993,5,0.12129455114558074,0.045434497061972,10,0,10,8,20,10,5
2022-09-10,58,GD,GENERAL DYNAMICS CORPORATION,40533,63,False,0.19560386763557744,0.08466557487847358,0.004132015841986181,0.6476943662253111,5,0.0556790574582644,0.028387044895198388,20,0,10,8,20,5,0
2022-09-10,59,PH,Parker-Hannifin Corp,76334,63,False,0.1525664782477048,0.0829427256051215,0.01717573891409548,0.658497553745011,5,0.026206199317888812,0.05529261449808476,20,0,10,8,20,0,5
2022-09-10,60,WM,WASTE MANAGEMENT INC,823768,63,False,0.2491767288693743,0.10127711784061123,0.014784202698116842,0.7550950269787263,5,0.0548033556671943,-0.01751483548851518,20,8,10,0,20,5,0
2022-09-10,61,PEP,"PepsiCo, Inc.",77476,60,False,0.5165271044513001,0.09585524825729169,0.04061984828356405,0.8251621074509888,5,0.057596730560825815,0.1190982489806911,20,0,5,0,20,5,10
2022-09-10,62,TMO,THERMO FISHER SCIENTIFIC INC.,97745,60,False,0.0787913665503329,0.09727049800233761,0.009563133932128567,0.47098865783312516,5,0.07201647112125364,0.10621524682479477,0,0,10,15,20,5,10
